name, population_year, urban_year, rural_year, population_mean, urban_mean, rural_mean
Белгородская область,1541000,1026500,514500,1538500,1023400,515100
Брянская область,1253600,869200,384400,1259100,872000,387100
Владимирская область,1421700,1103800,317900,1426900,1107500,319400
Воронежская область,2330400,1545000,785400,2330900,1540900,790000
Ивановская область,1049000,850500,198500,1051500,852200,199300
Калужская область,1005600,763000,242600,1006900,764100,242800
Костромская область,658900,464500,194400,660300,464600,195700
Курская область,1119300,743800,375500,1120400,741600,378800
Липецкая область,1162200,744200,418000,1164100,744400,419700
Московская область,7048100,5739500,1308600,7001600,5696600,1305000
Орловская область,775800,510600,265200,778500,512100,266400
Рязанская область,1144700,813200,331500,1146500,814100,332400
Смоленская область,975200,706800,268400,977800,709200,268600
Тамбовская область,1075700,635400,440300,1079200,636300,442900
Тверская область,1334100,998600,335500,1338200,1001700,336500
Тульская область,1532400,1207100,325300,1538500,1213500,325000
Ярославская область,1271700,1041500,230200,1271300,1041300,230000
г. Москва,11979500,11843600,135900,11918100,11785300,132800
Республика Карелия,636900,501900,135000,638300,501700,136600
Республика Коми,880700,681100,199600,885200,684100,201100
Архангельская область включая Ненецкий автономный округ   ,1202300,920800,281500,1207900,922700,285200
Ненецкий автономный округ,42800,30000,12800,42600,29600,13000
Архангельская область без Ненецкого автономного округа,1159500,890800,268700,1165300,893100,272200
Вологодская область,1196200,852900,343300,1197400,852900,344500
Калининградская область,954800,739900,214900,950800,736600,214200
Ленинградская область,1751100,1141300,609800,1742500,1137500,605000
Мурманская область,780400,723500,56900,784200,727100,57100
Новгородская область,625900,441300,184600,627800,442900,184900
Псковская область,661500,464700,196800,664200,466300,197900
г.Санкт-Петербург ,5028000,5028000,0,4990600,4990600,0
Республика Адыгея,444400,208700,235700,443500,208200,235300
Республика Калмыкия,284100,127100,157000,285400,127300,158100
Краснодарский край,5330200,2851600,2478600,5307300,2832900,2474400
Астраханская область,1013900,676100,337800,1014400,676400,338000
Волгоградская область,2583000,1970500,612500,2588900,1972900,616000
Ростовская область,4254600,2878300,1376300,4257600,2876300,1381300
Республика Дагестан,2946000,1328500,1617500,2938200,1325700,1612500
Республика Ингушетия,442300,176500,265800,436400,172700,263700
Кабардино-Балкарская Республика,858900,465100,393800,859000,465700,393300
Карачаево-Черкесская Республика,471900,202400,269500,473200,203500,269700
Республика Северная Осетия-Алания,706100,451400,254700,707600,452200,255400
Чеченская Республика,1324800,461200,863600,1313500,457800,855700
Ставропольский край,2790800,1608500,1182300,2788900,1604300,1184600
Республика Башкортостан,4060900,2480200,1580700,4062600,2476300,1586300
Республика Марий Эл ,690300,444100,246200,691400,442900,248500
Республика Мордовия,818600,502100,316500,822000,502600,319400
Республика Татарстан,3822000,2900700,921300,3812600,2889500,923100
Удмуртская Республика,1517700,986500,531200,1517900,1016300,501600
Чувашская Республика,1243400,743600,499800,1245200,742000,503200
Пермский край,2634500,1978500,656000,2632700,1974200,658500
Кировская область,1319100,986200,332900,1323500,987900,335600
Нижегородская область,3289800,2603600,686200,3293400,2604500,688900
Оренбургская область,2016100,1202800,813300,2019900,1204400,815500
Пензенская область,1368700,927200,441500,1372600,928700,443900
Самарская область,3213300,2581100,632200,3213700,2581100,632600
Саратовская область,2503300,1872300,631000,2506000,1874300,631700
Ульяновская область,1274500,943600,330900,1278300,944900,333400
Курганская область,885700,537700,348000,891000,539400,351600
Свердловская область,4315800,3628400,687400,4311700,3622800,688900
Тюменская область включая автономные округа  ,3510700,2768400,742300,3485100,2745200,739900
Ханты-Мансийский автономный округ,1584100,1454700,129400,1572700,1442800,129900
Ямало-Ненецкий автономный округ,541600,453700,87900,539100,454800,84300
Тюменская область без автономных округов,1385000,860000,525000,1373300,847600,525700
Челябинская область,3485300,2865600,619700,3482700,2861300,621400
Республика Алтай,210300,60800,149500,209400,60300,149100
Республика Бурятия,971800,573400,398400,971600,572500,399100
Республика Тыва,310500,167400,143100,309900,166600,143300
Республика Хакасия,533000,361100,171900,532600,360100,172500
Алтайский край,2398700,1331000,1067700,2403000,1329300,1073700
Забайкальский край,1095200,731600,363600,1097300,730700,366600
Красноярский край,2846500,2181600,664900,2842400,2175900,666500
Иркутская область,2422000,1925600,496400,2423200,1927300,495900
Кемеровская область,2742500,2345100,397400,2746600,2347700,398900
Новосибирская область,2709500,2110000,599500,2698200,2097100,601100
Омская область,1974000,1416600,557400,1974400,1415500,558900
Томская область,1064200,757600,306600,1061000,753700,307300
Республика Саха (Якутия),955600,620500,335100,955700,618800,336900
Камчатский край,320600,247200,73400,320300,247600,72700
Приморский край,1947200,1490600,456600,1948900,1489700,459200
Хабаровский край,1342100,1093600,248500,1342300,1093600,248700
Амурская область,816900,548100,268800,819300,549400,269900
Магаданская область,152300,146000,6300,153400,146900,6500
Сахалинская область,493300,398700,94600,494400,398300,96100
Еврейская автономная область,172700,117200,55500,173500,117900,55600
Чукотский автономный округ,50800,33900,16900,50900,33800,17100
