name, population_year, urban_year, rural_year, population_mean, urban_mean, rural_mean
Российская Федеpация,146880432,109326899,37553533,146842402,109179631,37662771
Белгородская область,1549876,1044510,505366,1551371,1044745,506626
Брянская область,1210982,850937,360045,1215756,853291,362465
Владимирская область,1378337,1077289,301048,1383968,1080983,302985
Воронежская область,2333768,1576374,757394,2334588,1574415,760173
Ивановская область,1014646,826727,187919,1018908,829638,189270
Калужская область,1012156,769262,242894,1013363,770375,242988
Костромская область,643324,464477,178847,645741,465258,180483
Курская область,1115237,756880,358357,1119065,758433,360632
Липецкая область,1150201,740253,409948,1153211,741232,411979
Московская область,7503385,6123573,1379812,7463427,6093279,1370148
Орловская область,747247,498910,248337,751032,501279,249753
Рязанская область,1121474,805902,315572,1124107,806685,317422
Смоленская область,949348,682708,266640,951274,684938,266336
Тамбовская область,1033552,629296,404256,1036939,629335,407604
Тверская область,1283873,972859,311014,1290336,976890,313446
Тульская область,1491855,1115742,376113,1495636,1118346,377290
Ярославская область,1265684,1035103,230581,1268210,1036653,231557
г. Москва,12506468,12342615,163853,12443566,12285650,157916
Республика Карелия,622484,500558,121926,624784,501671,123113
Республика Коми,840873,656821,184052,845713,660124,185589
Архангельская область включая Ненецкий авт. округ   ,1155028,900962,254066,1160389,903687,256702
Ненецкий авт. округ,43997,32049,11948,43967,31941,12026
Архангельская область без Ненецкого авт. округа,1111031,868913,242118,1116422,871746,244676
Вологодская область,1176689,851560,325129,1180274,853023,327251
Калининградская область,994599,775122,219477,990430,771278,219152
Ленинградская область,1813816,1157086,656730,1802866,1152313,650553
Мурманская область,753557,695764,57793,755589,698085,57504
Новгородская область,606476,430486,175990,609499,432123,177376
Псковская область,636546,451143,185403,639355,452653,186702
г.Санкт-Петербург ,5351935,5351935,0,5316757,5316757,0
Республика Адыгея,453376,213820,239556,453371,214161,239210
Республика Калмыкия,275413,125025,150388,276608,125429,151179
Республика Крым,1913731,974788,938943,1912950,974139,938811
Краснодарский край,5603420,3075168,2528252,5587182,3058550,2528632
Астраханская область,1017514,678071,339443,1018190,677843,340347
Волгоградская область,2521276,1940241,581035,2528239,1943724,584515
Ростовская область,4220452,2871412,1349040,4225903,2872725,1353178
г. Севастополь,436670,405976,30694,432712,402023,30689
Республика Дагестан,3063885,1383676,1680209,3052892,1378152,1674740
Республика Ингушетия,488043,269949,218094,484259,235392,248867
Кабардино-Балкарская Республика,865828,451338,414490,865141,451117,414024
Карачаево-Черкесская Республика,466305,199223,267082,466369,199307,267062
Республика Северная Осетия-Алания,701765,450865,250900,702513,451175,251338
Чеченская Республика,1436981,501179,935802,1425923,496366,929557
Ставропольский край,2800674,1636876,1163798,2802528,1636830,1165698
Республика Башкортостан,4063293,2522024,1541269,4065132,2520498,1544634
Республика Марий Эл ,682333,451366,230967,683509,451023,232486
Республика Мордовия,805056,507034,298022,806799,506183,300616
Республика Татарстан,3894284,2990569,903715,3889768,2983396,906372
Удмуртская Республика,1513044,995728,517316,1514935,995850,519085
Чувашская Республика,1231117,768968,462149,1233490,767741,465749
Пермский край,2623122,1988243,634879,2627610,1990882,636728
Кировская область,1283238,985180,298058,1287461,985521,301940
Нижегородская область,3234752,2572539,662213,3241232,2577071,664161
Оренбургская область,1977720,1188958,788762,1983655,1191463,792192
Пензенская область,1331655,912181,419474,1336591,914537,422054
Самарская область,3193514,2554179,639335,3198596,2560254,638342
Саратовская область,2462950,1864459,598491,2471105,1868334,602771
Ульяновская область,1246618,938767,307851,1249752,939358,310394
Курганская область,845537,522828,322709,849823,525246,324577
Свердловская область,4325256,3666856,658400,4327299,3665395,661904
Тюменская область включая авт. округа  ,3692400,2978216,714184,3676215,2960684,715531
Ханты-Мансийский авт. округ,1655074,1528299,126775,1650576,1524043,126533
Ямало-Ненецкий авт. округ,538547,451404,87143,537298,450113,87185
Тюменская область без авт. округов,1498779,998513,500266,1488341,986528,501813
Челябинская область,3493036,2888662,604374,3497679,2891150,606529
Республика Алтай,218063,63214,154849,217535,63254,154281
Республика Бурятия,984511,581005,403506,984323,580339,403984
Республика Тыва,321722,173853,147869,320136,172975,147161
Республика Хакасия,537513,372892,164621,537591,372157,165434
Алтайский край,2350080,1326398,1023682,2357880,1328936,1028944
Забайкальский край,1072806,731915,340891,1075894,732975,342919
Красноярский край,2876497,2226117,650380,2875899,2223098,652801
Иркутская область,2404195,1894053,510142,2406548,1897192,509356
Кемеровская область,2694877,2316706,378171,2701860,2321071,380789
Новосибирская область,2788849,2204326,584523,2784202,2199047,585155
Омская область,1960081,1424332,535749,1966382,1427924,538458
Томская область,1078280,780804,297476,1078585,780603,297982
Республика Саха (Якутия),964330,632857,331473,963582,631692,331890
Камчатский край,315557,246833,68724,315143,246225,68918
Приморский край,1913037,1477094,435943,1918076,1480175,437901
Хабаровский край,1328302,1090976,237326,1330798,1092561,238237
Амурская область,798424,537884,260540,800088,538686,261402
Магаданская область,144091,138169,5922,144831,138739,6092
Сахалинская область,490181,402043,88138,488763,400413,88350
Еврейская автономная область,162014,111415,50599,163116,112068,51048
Чукотский автономный округ,49348,34795,14553,49585,34843,14742
