name, population_year, urban_year, rural_year, population_mean, urban_mean, rural_mean
Белгородская область,1500659,980243,520416,1507593,985030,522563
Брянская область,1142404,796237,346167,1147454,799306,348148
Владимирская область,1309942,1016415,293527,1317726,1022798,294928
Воронежская область,2273417,1556609,716808,2279349,1561181,718168
Ивановская область,905900,743923,161977,910313,747324,162989
Калужская область,1068410,799470,268940,1069632,800524,269108
Костромская область,566266,421858,144408,569083,422802,146281
Курская область,1060892,729497,331395,1063963,730133,333830
Липецкая область,1116265,701658,414607,1121264,705511,415753
Московская область,8651260,6746477,1904783,8621498,6736631,1884867
Орловская область,692486,460807,231679,696381,463636,232745
Рязанская область,1082231,772290,309941,1085575,774763,310812
Смоленская область,863987,627931,236056,868514,631148,237366
Тамбовская область,956292,578544,377748,961271,580902,380369
Тверская область,1199747,915193,284554,1205465,919910,285555
Тульская область,1471140,1074386,396754,1476305,1079132,397173
Ярославская область,1187558,960137,227421,1191081,963831,227250
г. Москва,13149803,13149803,0,13126990,13126990,0
Республика Карелия,523856,418765,105091,525868,419826,106042
Республика Коми,720610,561102,159508,723522,562731,160791
Архангельская область ,998072,778127,219945,1001880,779786,222094
Ненецкий автономный округ,42224,31582,10642,41804,31207,10597
Архангельская область без Ненецкого автономного округа,955848,746545,209303,960076,748579,211497
Вологодская область,1121343,814829,306514,1125062,816732,308330
Калининградская область,1033914,791229,242685,1033129,791080,242049
Ленинградская область,2035762,1373533,662229,2029764,1365392,664372
Мурманская область,656438,610635,45803,657568,611746,45822
Новгородская область,571447,418394,153053,573687,419760,153927
Псковская область,581147,411478,169669,584467,414034,170433
г.Санкт-Петербург ,5597763,5597763,0,5598903,5598903,0
Республика Адыгея,500591,243610,256981,499288,243777,255511
Республика Калмыкия,266770,125275,141495,265627,124773,140854
Республика Крым,1909499,958534,950965,1913152,961246,951906
Краснодарский край,5833002,3341225,2491777,5826173,3333022,2493151
Астраханская область,946429,604707,341722,948493,606830,341663
Волгоградская область,2453898,1906201,547697,2461978,1911251,550727
Ростовская область,4152518,2816389,1336129,4158532,2818562,1339970
г. Севастополь,561374,519867,41507,559824,518129,41695
Республика Дагестан,3232224,1460173,1772051,3221002,1455332,1765670
Республика Ингушетия,527220,289978,237242,523149,287315,235834
Кабардино-Балкарская Республика,905464,468249,437215,904365,467946,436419
Карачаево-Черкесская Республика,468322,193948,274374,468383,193875,274508
Республика Северная Осетия-Алания,678879,429634,249245,679813,429886,249927
Чеченская Республика,1552866,622326,930540,1543038,603533,939505
Ставропольский край,2886108,1755601,1130507,2888656,1754713,1133943
Республика Башкортостан,4064361,2544428,1519933,4070980,2543398,1527582
Республика Марий Эл ,669854,463042,206812,671088,462851,208237
Республика Мордовия,765891,488006,277885,768632,489197,279435
Республика Татарстан,4003016,3069163,933853,4002320,3070259,932061
Удмуртская Республика,1434557,943520,491037,1438404,945983,492421
Чувашская Республика,1167061,753236,413825,1170119,753844,416275
Пермский край,2495266,1891219,604047,2501809,1894748,607061
Кировская область,1129935,889197,240738,1134023,890313,243710
Нижегородская область,3060335,2449532,610803,3071076,2457534,613542
Оренбургская область,1828656,1096718,731938,1835017,1099472,735545
Пензенская область,1236113,851348,384765,1241361,854453,386908
Самарская область,3127842,2483394,644448,3135262,2491026,644236
Саратовская область,2385163,1836052,549111,2395054,1841479,553575
Ульяновская область,1172782,904854,267928,1176894,906970,269924
Курганская область,753002,484819,268183,757294,486915,270379
Свердловская область,4222695,3626345,596350,4230928,3632731,598197
Тюменская область ,3890800,3158201,732599,3871017,3138432,732585
Ханты-Мансийский автономный округ-Югра,1759386,1624576,134810,1744869,1610171,134698
Ямало-Ненецкий автономный округ,515960,439508,76452,514174,436790,77384
Тюменская область без автономных округов,1615454,1094117,521337,1611974,1091471,520503
Челябинская область,3395798,2801616,594182,3401472,2807882,593590
Республика Алтай,210765,64508,146257,210767,64733,146034
Республика Тыва,337544,188187,149357,337408,187344,150064
Республика Хакасия,528175,363873,164302,529204,363959,165245
Алтайский край,2115308,1237124,878184,2123129,1239926,883203
Красноярский край ,2846120,2270252,575868,2845832,2267480,578352
Иркутская область,2330537,1804050,526487,2337448,1810624,526824
Кемеровская область,2547684,2204971,342713,2557961,2213582,344379
Новосибирская область,2789532,2225442,564090,2791899,2226610,565289
Омская область,1818093,1341849,476244,1825079,1345506,479573
Томская область,1043385,742452,300933,1047746,746226,301520
Республика Бурятия,971922,574492,397430,973275,575253,398022
Республика Саха (Якутия),1001664,677004,324660,999614,673642,325972
Забайкальский край,984395,687127,297268,988412,688544,299868
Камчатский край,288947,225925,63022,288839,225516,63323
Приморский край,1806393,1416615,389778,1813234,1421993,391241
Хабаровский край,1278132,1067332,210800,1281111,1069759,211352
Амурская область,750083,513956,236127,753140,515504,237636
Магаданская область,133387,128678,4709,133851,129146,4705
Сахалинская область,457590,378750,78840,459063,379642,79421
Еврейская автономная область,145802,103295,42507,146630,103861,42769
Чукотский автономный округ,48029,33318,14711,47935,33183,14752
