name, population_year, urban_year, rural_year, population_mean, urban_mean, rural_mean
Белгородская область,1552900,1045000,507900,1551500,1042300,509200
Брянская область,1220500,855600,364900,1223100,856300,366800
Владимирская область,1389600,1084700,304900,1393400,1086800,306600
Воронежская область,2335400,1572400,763000,2334400,1569700,764700
Ивановская область,1023200,832600,190600,1026500,834900,191600
Калужская область,1014600,771500,243100,1012200,770100,242100
Костромская область,648200,466100,182100,649800,465900,183900
Курская область,1122900,760000,362900,1121500,757100,364400
Липецкая область,1156200,742200,414000,1156200,742400,413800
Московская область,7423500,6063000,1360500,7371100,6017400,1353700
Орловская область,754800,503600,251200,757300,504800,252500
Рязанская область,1126700,807400,319300,1128400,807400,321000
Смоленская область,953200,687200,266000,955900,688600,267300
Тамбовская область,1040300,629400,410900,1045300,630500,414800
Тверская область,1296800,980900,315900,1300800,982600,318200
Тульская область,1499400,1120900,378500,1502900,1123300,379600
Ярославская область,1270700,1038200,232500,1271300,1038700,232600
г. Москва ,12380700,12228700,152000,12355400,12203900,151500
Республика Карелия,627100,502800,124300,628500,503100,125400
Республика Коми,850500,663400,187100,853700,665300,188400
Архангельская область включая Ненецкий автономный округ,1165700,906400,259300,1169900,907600,262300
Ненецкий автономный округ,43900,31800,12100,43900,31800,12100
Архангельская область без Ненецкого автономного округа,1121800,874600,247200,1126000,875800,250200
Вологодская область,1183900,854500,329400,1185800,854700,331100
Калининградская область,986300,767500,218800,981300,763100,218200
Ленинградская область,1791900,1147500,644400,1785400,1145000,640400
Мурманская область,757600,700400,57200,759900,702700,57200
Новгородская область,612500,433700,178800,614100,434900,179200
Псковская область,642200,454200,188000,644300,455000,189300
г.Санкт-Петербург ,5281600,5281600,0,5253600,5253600,0
Республика Адыгея,453400,214500,238900,452400,214000,238400
Республика Калмыкия,277800,125900,151900,278300,125900,152400
Республика Крым,1912200,973500,938700,1909600,971100,938500
Краснодарский край,5570900,3041900,2529000,5542400,3018500,2523900
Астраханская область,1018900,677600,341300,1018700,677700,341000
Волгоградская область,2535200,1947200,588000,2540600,1949500,591100
Ростовская область,4231300,2874000,1357300,4233700,2873100,1360600
г. Севастополь,428800,398100,30700,422500,391900,30600
Республика Дагестан,3041900,1372600,1669300,3028800,1365500,1663300
Республика Ингушетия,480500,200800,279700,476600,198000,278600
Кабардино-Балкарская Республика,864400,450900,413500,863400,450600,412800
Карачаево-Черкесская Республика,466400,199400,267000,467100,199600,267500
Республика Северная Осетия-Алания,703300,451500,251800,703500,451500,252000
Чеченская Республика,1414900,491600,923300,1404500,488300,916200
Ставропольский край,2804400,1636800,1167600,2803000,1634400,1168600
Республика Башкортостан,4067000,2519000,1548000,4069000,2517400,1551600
Республика Марий Эл ,684700,450700,234000,685300,450100,235200
Республика Мордовия,808500,505300,303200,808000,502400,305600
Республика Татарстан,3885200,2976200,909000,3877000,2966200,910800
Удмуртская Республика,1516800,996000,520799,1517000,995200,521799
Чувашская Республика,1235900,766500,469400,1236200,762300,473900
Пермский край,2632100,1993500,638600,2633300,1992800,640500
Кировская область,1291700,985900,305800,1294600,985500,309100
Нижегородская область,3247700,2581600,666100,3254000,2586200,667800
Оренбургская область,1989600,1194000,795600,1992200,1194900,797300
Пензенская область,1341500,916900,424600,1345100,918900,426200
Самарская область,3203700,2566300,637400,3204800,2568600,636200
Саратовская область,2479200,1872200,607000,2483400,1873100,610300
Ульяновская область,1252900,939900,313000,1255200,939800,315400
Курганская область,854100,527700,326400,858000,530100,327900
Свердловская область,4329400,3664000,665400,4329700,3661000,668700
Тюменская область включая автономные округа,3660000,2943100,716900,3637700,2920000,717700
Ханты-Мансийский автономный округ-Югра,1646100,1519800,126300,1636400,1510000,126400
Ямало-Ненецкий автономный округ,536000,448800,87200,535100,447900,87200
Тюменская область без автономных округов,1477900,974500,503400,1466200,962100,504100
Челябинская область,3502300,2893600,608700,3501500,2892400,609100
Республика Алтай,217000,63300,153700,216100,63100,153000
Республика Бурятия,984100,579700,404400,983200,579500,403700
Республика Тыва,318600,172100,146500,317100,171600,145500
Республика Хакасия,537700,371400,166300,537200,370400,166800
Алтайский край,2365700,1331500,1034200,2371200,1333400,1037800
Забайкальский край,1079000,734100,344900,1081000,733700,347300
Красноярский край ,2875300,2220100,655200,2870900,2213000,657900
Иркутская область,2408900,1900300,508600,2410900,1902800,508100
Кемеровская область,2708800,2325400,383400,2713200,2328200,385000
Новосибирская область,2779500,2193700,585800,2770900,2184300,586600
Омская область,1972700,1431500,541200,1975600,1431700,543900
Томская область,1078900,780400,298500,1077800,778800,299000
Республика Саха (Якутия),962800,630500,332300,961200,629100,332100
Камчатский край,314700,245600,69100,315400,245800,69600
Приморский край,1923100,1483300,439800,1926100,1484600,441500
Хабаровский край,1333300,1094200,239100,1333900,1094000,239900
Амурская область,801800,539500,262300,803700,540900,262800
Магаданская область,145600,139300,6300,146000,139600,6400
Сахалинская область,487400,398800,88600,487300,398100,89200
Еврейская автономная область,164200,112700,51500,165200,113300,51900
Чукотский автономный округ,49800,34900,14900,50000,34800,15200
