name, population_year, urban_year, rural_year, population_mean, urban_mean, rural_mean
Белгородская область,1550100,1039599,510500,1549000,1037900,511100
Брянская область,1225800,856900,368900,1229300,858600,370700
Владимирская область,1397200,1089000,308200,1401400,1091400,310000
Воронежская область,2333500,1566900,766600,2332300,1563400,768900
Ивановская область,1029800,837200,192600,1033400,839800,193600
Калужская область,1009800,768800,241000,1010100,769300,240800
Костромская область,651500,465900,185600,652900,466100,186800
Курская область,1120000,754200,365800,1118700,750700,368000
Липецкая область,1156100,742500,413600,1157000,743000,414000
Московская область,7318600,5971800,1346800,7274800,5936200,1338600
Орловская область,759700,505800,253900,762500,506700,255800
Рязанская область,1130100,807400,322700,1132800,808200,324600
Смоленская область,958600,690000,268600,961700,692200,269500
Тамбовская область,1050300,631700,418600,1056400,633700,422700
Тверская область,1304800,984200,320600,1309900,986600,323300
Тульская область,1506400,1125600,380800,1510000,1128300,381700
Ярославская область,1271900,1039300,232600,1271800,1039400,232400
г. Москва,12330100,12179100,151000,12263900,12116700,147200
Республика Карелия,629900,503400,126500,631200,503400,127800
Республика Коми,856800,667100,189700,860600,669300,191300
Архангельская область включая Ненецкий автономный округ   ,1174100,908900,265200,1178700,909800,268900
Ненецкий автономный округ,43900,31800,12100,43600,31400,12200
Архангельская область без Ненецкого автономного округа,1130200,877100,253100,1135100,878400,256700
Вологодская область,1187700,854800,332900,1189300,855600,333700
Калининградская область,976400,758800,217600,972700,755700,217000
Ленинградская область,1778800,1142400,636400,1777200,1144500,632700
Мурманская область,762200,705000,57200,764200,707200,57000
Новгородская область,615700,436000,179700,617200,437300,179900
Псковская область,646400,455900,190500,648800,457200,191600
г.Санкт-Петербург ,5225700,5225700,0,5208700,5208700,0
Республика Адыгея,451500,213600,237900,450300,212600,237700
Республика Калмыкия,278800,126000,152800,279600,126200,153400
Краснодарский край,5513800,2994900,2518900,5483600,2971500,2512100
Астраханская область,1018600,677700,340900,1020000,678700,341300
Волгоградская область,2545900,1951800,594100,2551700,1954500,597200
Ростовская область,4236000,2872200,1363800,4239000,2875500,1363500
Республика Дагестан,3015700,1358300,1657400,3003000,1353200,1649800
Республика Ингушетия,472800,195300,277500,468300,192100,276200
Кабардино-Балкарская Республика,862200,450100,412100,861500,449900,411600
Карачаево-Черкесская Республика,467800,199800,268000,468400,200000,268400
Республика Северная Осетия-Алания,703700,451400,252300,704500,451700,252800
Чеченская Республика,1394200,485200,909000,1382200,480600,901600
Ставропольский край,2801600,1632100,1169500,2800600,1629800,1170800
Республика Башкортостан,4071100,2515900,1555200,4071500,2513900,1557600
Республика Марий Эл ,685900,449500,236400,686700,448800,237900
Республика Мордовия,807400,499400,308000,808200,497300,310900
Республика Татарстан,3868700,2956100,912600,3861900,2947900,914000
Удмуртская Республика,1517200,994500,522700,1517300,994500,522799
Чувашская Республика,1236600,758100,478500,1237400,754800,482600
Пермский край,2634400,1992000,642400,2635700,1991900,643800
Кировская область,1297500,985200,312300,1300900,985500,315400
Нижегородская область,3260300,2590800,669500,3265200,2593400,671800
Оренбургская область,1994700,1195800,798900,1997900,1197100,800800
Пензенская область,1348700,920900,427800,1352200,922100,430100
Самарская область,3206000,2570800,635200,3209300,2575700,633600
Саратовская область,2487500,1874000,613500,2490300,1874300,616000
Ульяновская область,1257600,939800,317800,1260100,940100,320000
Курганская область,861900,532600,329300,865900,534000,331900
Свердловская область,4330000,3658100,671900,4328700,3653600,675100
Тюменская область включая автономные округа  ,3615500,2896900,718600,3598400,2879800,718600
Ханты-Мансийский автономный округ,1626800,1500400,126400,1619400,1492900,126500
Ямало-Ненецкий автономный округ,534100,446900,87200,537000,449700,87300
Тюменская область без автономных округов,1454600,949600,505000,1442000,937200,504800
Челябинская область,3500700,2891100,609600,3499000,2888900,610100
Республика Алтай,215200,62900,152300,214400,62600,151800
Республика Бурятия,982300,579400,402900,980400,577900,402500
Республика Тыва,315600,171100,144500,314700,170200,144500
Республика Хакасия,536800,369400,167400,536300,368200,168100
Алтайский край,2376700,1335300,1041400,2380800,1335500,1045300
Забайкальский край,1083000,733400,349600,1085200,733000,352200
Красноярский край,2866500,2206000,660500,2862700,2199900,662800
Иркутская область,2412800,1905200,507600,2413900,1905900,508000
Кемеровская область,2717600,2330900,386700,2721300,2333200,388100
Новосибирская область,2762200,2174800,587400,2754500,2165800,588700
Омская область,1978500,1431800,546700,1978300,1429700,548600
Томская область,1076800,777300,299500,1075600,775100,300500
Республика Саха (Якутия),959700,627800,331900,958300,626200,332100
Камчатский край,316100,246000,70100,316700,246000,70700
Приморский край,1929000,1485800,443200,1931100,1486100,445000
Хабаровский край,1334500,1093900,240600,1336500,1094600,241900
Амурская область,805700,542300,263400,807800,543500,264300
Магаданская область,146400,139800,6600,147200,140600,6600
Сахалинская область,487300,397400,89900,487800,397400,90400
Еврейская автономная область,166100,113900,52200,167300,114400,52900
Чукотский автономный округ,50200,34700,15500,50300,34600,15700
Крымский федеральный округ,2323400,1354500,968900,2309100,1342600,966500
Республика Крым,1907100,968700,938400,1901500,965400,936100
г. Севастополь,416300,385800,30500,407600,377200,30400
