name, population_year, urban_year, rural_year, population_mean, urban_mean, rural_mean
Российская Федеpация,145557576,108896374,36661202,145864296,109074010,36790286
Белгородская область,1531917,1037398,494519,1536588,1039354,497234
Брянская область,1168771,825055,343716,1175726,829126,346600
Владимирская область,1323659,1034690,288969,1332879,1041962,290917
Воронежская область,2287678,1558117,729561,2296643,1562581,734062
Ивановская область,976918,799962,176956,981975,803663,178312
Калужская область,1012844,768673,244171,1006912,763718,243194
Костромская область,620776,455546,165230,624600,457305,167295
Курская область,1083584,745355,338229,1090036,749052,340984
Липецкая область,1113680,718936,394744,1120936,723989,396947
Московская область,7768878,6334071,1434807,7738688,6315238,1423450
Орловская область,714094,476031,238063,719390,479731,239659
Рязанская область,1085152,783514,301638,1091705,788395,303310
Смоленская область,909856,656710,253146,915492,659996,255496
Тамбовская область,980984,605394,375590,987702,608647,379055
Тверская область,1230190,938945,291245,1237904,944508,293396
Тульская область,1432570,1068671,363899,1440843,1075777,365066
Ярославская область,1227383,999340,228043,1234403,1005653,228750
г. Москва,12635466,12414695,220771,12645258,12435188,210070
Республика Карелия,603067,491406,111661,606069,492975,113094
Республика Коми,803477,630488,172989,808533,633780,174753
Архангельская область ,1114322,875640,238682,1120687,882268,238419
Ненецкий автономный округ,44540,33258,11282,44465,33103,11362
Архангельская область без Ненецкого автономного округа,1069782,842382,227400,1076222,849165,227057
Вологодская область,1139499,830394,309105,1145271,833807,311464
Калининградская область,1027678,799062,228616,1023151,795566,227585
Ленинградская область,1911586,1283834,627752,1902148,1279021,623127
Мурманская область,724452,666872,57580,728658,671031,57627
Новгородская область,586129,421168,164961,589272,422903,166369
Псковская область,613356,436343,177013,616803,438177,178626
г.Санкт-Петербург ,5377503,5377503,0,5380922,5380922,0
Республика Адыгея,468340,220298,248042,465754,219072,246682
Республика Калмыкия,267756,124314,143442,268870,124465,144405
Республика Крым,1896393,962150,934243,1898985,964191,934794
Краснодарский край,5687378,3179846,2507532,5685662,3169600,2516062
Астраханская область,989430,656394,333036,993604,660302,333302
Волгоградская область,2449781,1901827,547954,2462168,1908807,553361
Ростовская область,4153763,2827741,1326022,4167625,2839266,1328359
г. Севастополь,522057,491878,30179,516025,485636,30389
Республика Дагестан,3153857,1429641,1724216,3143580,1424782,1718798
Республика Ингушетия,524058,292243,231815,519811,289732,230079
Кабардино-Балкарская Республика,870487,452658,417829,869839,452366,417473
Карачаево-Черкесская Республика,464219,199174,265045,464788,199410,265378
Республика Северная Осетия-Алания,688124,441965,246159,690611,443785,246826
Чеченская Республика,1516387,576677,939710,1507189,573203,933986
Ставропольский край,2780204,1649683,1130521,2786500,1651195,1135305
Республика Башкортостан,4001678,2517002,1484676,4007732,2513976,1493756
Республика Марий Эл ,671455,456471,214984,673394,456024,217370
Республика Мордовия,770673,496684,273989,774819,497773,277046
Республика Татарстан,3886395,2986674,899721,3890257,2990562,899695
Удмуртская Республика,1484460,984145,500315,1488908,986373,502535
Чувашская Республика,1198429,769234,429195,1203152,769094,434058
Пермский край,2556852,1940440,616412,2568056,1948996,619060
Кировская область,1234780,971150,263630,1242477,974357,268120
Нижегородская область,3144254,2511394,632860,3160403,2523113,637290
Оренбургская область,1924578,1175414,749164,1933747,1178762,754985
Пензенская область,1274062,881393,392669,1282480,886754,395726
Самарская область,3131720,2494765,636955,3142942,2504765,638177
Саратовская область,2360959,1790693,570266,2378035,1802051,575984
Ульяновская область,1203969,919607,284362,1211144,923341,287803
Курганская область,805510,503572,301938,812040,506835,305205
Свердловская область,4264340,3632943,631397,4277203,3641834,635369
Тюменская область ,3806505,3108962,697543,3792279,3088483,703796
Ханты-Мансийский автономный округ-Югра,1702240,1578390,123850,1694947,1570705,124242
Ямало-Ненецкий автономный округ,552117,473892,78225,549564,466485,83079
Тюменская область без автономных округов,1552148,1056680,495468,1547768,1051293,496475
Челябинская область,3418606,2825510,593096,3430708,2836252,594456
Республика Алтай,221559,64558,157001,221257,64531,156726
Республика Тыва,332609,182587,150022,331488,181029,150459
Республика Хакасия,528338,370552,157786,530187,371377,158810
Алтайский край,2268179,1302594,965585,2282266,1307794,974472
Красноярский край ,2849169,2219359,629810,2852534,2218206,634328
Иркутская область,2357134,1837575,519559,2366078,1844386,521692
Кемеровская область,2604272,2241750,362522,2618859,2254099,364760
Новосибирская область,2780292,2206580,573712,2783064,2207273,575791
Омская область,1879548,1372948,506600,1891612,1380740,510872
Томская область,1068304,771588,296716,1069321,771565,297756
Республика Бурятия,982629,580826,401803,984030,581713,402317
Республика Саха (Якутия),992115,664288,327827,987043,657679,329364
Забайкальский край,1043467,716657,326810,1048476,718348,330128
Камчатский край,312704,246879,65825,312186,246034,66152
Приморский край,1863011,1444057,418954,1870428,1448727,421701
Хабаровский край,1298978,1067841,231137,1300052,1068074,231978
Амурская область,772525,525699,246826,777185,528082,249103
Магаданская область,137767,132456,5311,138401,133032,5369
Сахалинская область,484177,400431,83746,484899,400376,84523
Еврейская автономная область,153831,104793,49038,155165,105833,49332
Чукотский автономный округ,50040,36001,14039,49784,35622,14162
