name, population_year, urban_year, rural_year, population_mean, urban_mean, rural_mean
Белгородская область,1547900,1036200,511700,1546000,1033800,512200
Брянская область,1233000,860300,372700,1237800,862200,375600
Владимирская область,1405600,1093700,311900,1409500,1095800,313700
Воронежская область,2331100,1559900,771200,2330100,1556500,773600
Ивановская область,1036900,842400,194500,1040000,844300,195700
Калужская область,1010500,770000,240500,1007500,766200,241300
Костромская область,654400,466400,188000,655400,465700,189700
Курская область,1117400,747300,370100,1118200,745900,372300
Липецкая область,1157900,743600,414300,1158900,743600,415300
Московская область,7231100,5900600,1330500,7182300,5859100,1323200
Орловская область,765200,507400,257800,767600,507500,260100
Рязанская область,1135400,809000,326400,1138100,810200,327900
Смоленская область,964800,694400,270400,966300,696100,270200
Тамбовская область,1062400,635600,426800,1065700,635500,430200
Тверская область,1315100,989000,326100,1320200,991000,329200
Тульская область,1513600,1131000,382600,1517500,1148500,369000
Ярославская область,1271600,1039500,232100,1271700,1040000,231700
г. Москва,12197600,12054200,143400,12152900,12012900,140000
Республика Карелия,632500,503400,129100,633500,502900,130600
Республика Коми,864500,671500,193000,868200,673600,194600
Архангельская область включая Ненецкий автономный округ,1183300,910800,272500,1187600,911400,276200
Ненецкий автономный округ,43400,31100,12300,43200,30800,12400
Архангельская область без Ненецкого автономного округа,1139900,879700,260200,1144400,880600,263800
Вологодская область,1191000,856500,334500,1192200,855200,337000
Калининградская область,969000,752600,216400,966000,749900,216100
Ленинградская область,1775500,1146500,629000,1769700,1145600,624100
Мурманская область,766300,709500,56800,768700,712000,56700
Новгородская область,618700,438400,180300,620600,438500,182100
Псковская область,651100,458500,192600,653800,459600,194200
г.Санкт-Петербург ,5191700,5191700,0,5161800,5161800,0
Республика Адыгея,449200,211700,237500,447800,210800,237000
Республика Калмыкия,280500,126500,154000,281300,126600,154700
Краснодарский край,5453300,2948000,2505300,5428800,2930400,2498400
Астраханская область,1021300,679600,341700,1018900,678900,340000
Волгоградская область,2557400,1957200,600200,2563300,1960100,603200
Ростовская область,4242100,2879000,1363100,4243800,2878700,1365100
Республика Дагестан,2990400,1348200,1642200,2977100,1342100,1635000
Республика Ингушетия,463900,189000,274900,458400,185900,272500
Кабардино-Балкарская Республика,860700,449700,411000,859600,449300,410300
Карачаево-Черкесская Республика,469000,200200,268800,469500,200500,269000
Республика Северная Осетия-Алания,705200,451900,253300,704600,451100,253500
Чеченская Республика,1370300,476000,894300,1358400,472100,886300
Ставропольский край,2799500,1627500,1172000,2797000,1623300,1173700
Республика Башкортостан,4072000,2511900,1560100,4070800,2505900,1564900
Республика Марий Эл ,687400,448100,239300,688100,447200,240900
Республика Мордовия,808900,495200,313700,810500,493900,316600
Республика Татарстан,3855000,2939700,915300,3846600,2930100,916500
Удмуртская Республика,1517500,994500,523000,1517300,992600,524700
Чувашская Республика,1238100,751500,486600,1239000,748800,490200
Пермский край,2637000,1991800,645200,2636600,1988800,647800
Кировская область,1304400,985900,318500,1307600,985300,322300
Нижегородская область,3270200,2596000,674200,3275800,2597400,678400
Оренбургская область,2001100,1198500,802600,2004800,1200300,804500
Пензенская область,1355600,923200,432400,1358100,924100,434000
Самарская область,3212700,2580600,632100,3212000,2580100,631900
Саратовская область,2493000,1874500,618500,2494800,1873600,621200
Ульяновская область,1262600,940400,322200,1265100,940600,324500
Курганская область,869800,535300,334500,873500,535800,337700
Свердловская область,4327400,3649100,678300,4324100,3643400,680700
Тюменская область включая автономные округа  ,3581300,2862700,718600,3563800,2845700,718100
Ханты-Мансийский автономный округ,1612100,1485400,126700,1604700,1477500,127200
Ямало-Ненецкий автономный округ,540000,452600,87400,539800,452600,87200
Тюменская область без автономных округов,1429200,924700,504500,1419300,915600,503700
Челябинская область,3497300,2886700,610600,3493600,2880800,612800
Республика Алтай,213700,62300,151400,212700,61900,150800
Республика Бурятия,978500,576400,402100,976200,574500,401700
Республика Тыва,313800,169200,144600,312800,168700,144100
Республика Хакасия,535800,367000,168800,534900,365300,169600
Алтайский край,2384800,1335600,1049200,2387700,1334400,1053300
Забайкальский край,1087500,732600,354900,1088900,732100,356800
Красноярский край,2858800,2193700,665100,2855800,2187300,668500
Иркутская область,2414900,1906500,508400,2416600,1912800,503800
Кемеровская область,2725000,2335500,389500,2729600,2337700,391900
Новосибирская область,2746800,2156800,590000,2739000,2146300,592700
Омская область,1978200,1427700,550500,1976000,1423900,552100
Томская область,1074400,773000,301400,1072300,769400,302900
Республика Саха (Якутия),956900,624700,332200,955900,623700,332200
Камчатский край,317200,245900,71300,318500,246700,71800
Приморский край,1933300,1486400,446900,1935900,1486800,449100
Хабаровский край,1338300,1095200,243100,1339100,1094600,244500
Амурская область,809900,544800,265100,810600,544600,266000
Магаданская область,148100,141300,6800,149200,142300,6900
Сахалинская область,488400,397400,91000,489700,398000,91700
Еврейская автономная область,168400,114900,53500,169400,115300,54100
Чукотский автономный округ,50500,34500,16000,50500,34300,16200
Крымский федеральный округ,2294900,1330800,964100,2270900,1312900,958000
Республика Крым,1895900,962200,933700,1884400,956300,928100
г. Севастополь,399000,368600,30400,386500,356600,29900
