name, population_year, urban_year, rural_year, population_mean, urban_mean, rural_mean
Белгородская область,1544100,1031400,512700,1542500,1028900,513600
Брянская область,1242600,864200,378400,1248100,866700,381400
Владимирская область,1413300,1097800,315500,1417500,1100800,316700
Воронежская область,2328900,1552900,776000,2329700,1549000,780700
Ивановская область,1043099,846300,196800,1046099,848400,197700
Калужская область,1004600,762600,242000,1005100,762800,242300
Костромская область,656400,464900,191500,657600,464700,192900
Курская область,1118900,744400,374500,1119100,744100,375000
Липецкая область,1159900,743600,416300,1161100,743900,417200
Московская область,7133600,5817700,1315900,7090900,5778600,1312300
Орловская область,770000,507600,262400,772900,509100,263800
Рязанская область,1140800,811400,329400,1142700,812300,330400
Смоленская область,967900,697800,270100,971500,702300,269200
Тамбовская область,1068900,635300,433600,1072300,635300,437000
Тверская область,1325300,993000,332300,1329700,995800,333900
Тульская область,1521500,1166000,355500,1527000,1186600,340400
Ярославская область,1271800,1040599,231200,1271700,1041000,230700
г. Москва,12108300,11971700,136600,12043900,11907700,136200
Республика Карелия,634400,502300,132100,635700,502100,133600
Республика Коми,872000,675700,196300,876400,678400,198000
Архангельская область включая Ненецкий автономный округ,1191800,911900,279900,1197000,916300,280700
Ненецкий автономный округ,43000,30500,12500,42900,30200,12700
Архангельская область без Ненецкого автономного округа,1148800,881400,267400,1154100,886100,268000
Вологодская область,1193400,853800,339600,1194800,853400,341400
Калининградская область,963100,747400,215700,958900,743600,215300
Ленинградская область,1763900,1144700,619200,1757500,1143000,614500
Мурманская область,771100,714500,56600,775700,719000,56700
Новгородская область,622400,438600,183800,624200,440000,184200
Псковская область,656600,460800,195800,659000,462700,196300
г.Санкт-Петербург ,5132000,5132000,0,5080000,5080000,0
Республика Адыгея,446400,209900,236500,445400,209300,236100
Республика Калмыкия,282000,126500,155500,283100,126800,156300
Краснодарский край,5404300,2912800,2491500,5367200,2882200,2485000
Астраханская область,1016500,678200,338300,1015200,677200,338000
Волгоградская область,2569100,1963000,606100,2576000,1966700,609300
Ростовская область,4245600,2878500,1367100,4250100,2878400,1371700
Республика Дагестан,2963900,1336000,1627900,2955000,1332300,1622700
Республика Ингушетия,453000,182800,270200,447600,179600,268000
Кабардино-Балкарская Республика,858400,448900,409500,858700,457000,401700
Карачаево-Черкесская Республика,469900,200700,269200,470800,201500,269300
Республика Северная Осетия-Алания,704000,450400,253600,705100,450900,254200
Чеченская Республика,1346400,468100,878300,1335600,464700,870900
Ставропольский край,2794500,1619200,1175300,2792600,1613800,1178800
Республика Башкортостан,4069700,2499900,1569800,4065300,2490100,1575200
Республика Марий Эл ,688700,446300,242400,689500,445200,244300
Республика Мордовия,812100,492700,319400,815400,497400,318000
Республика Татарстан,3838200,2920500,917700,3830100,2910600,919500
Удмуртская Республика,1517000,990600,526400,1517400,988600,528800
Чувашская Республика,1240000,746200,493800,1241700,744900,496800
Пермский край,2636200,1985800,650400,2635300,1982100,653200
Кировская область,1310900,984700,326200,1315000,985500,329500
Нижегородская область,3281500,2598800,682700,3285700,2601200,684500
Оренбургская область,2008500,1202000,806500,2012300,1202400,809900
Пензенская область,1360600,924900,435700,1364600,926000,438600
Самарская область,3211200,2579600,631600,3212300,2580400,631900
Саратовская область,2496600,1872700,623900,2499900,1872500,627400
Ульяновская область,1267600,940900,326700,1271000,942200,328800
Курганская область,877100,536200,340900,881500,537000,344500
Свердловская область,4320700,3637600,683100,4318200,3633000,685200
Тюменская область включая автономные округа,3546300,2828700,717600,3528500,2798500,730000
Ханты-Мансийский автономный округ,1597200,1469600,127600,1590700,1462200,128500
Ямало-Ненецкий автономный округ,539700,452600,87100,540600,453100,87500
Тюменская область без автономных округов,1409400,906500,502900,1397200,883200,514000
Челябинская область,3490100,2875000,615100,3487700,2870300,617400
Республика Алтай,211600,61400,150200,211000,61100,149900
Республика Бурятия,973900,572600,401300,972800,572900,399900
Республика Тыва,311700,168200,143500,311100,167800,143300
Республика Хакасия,534100,363600,170500,533600,362400,171200
Алтайский край,2390600,1333100,1057500,2394700,1332100,1062600
Забайкальский край,1090400,731800,358600,1092800,731700,361100
Красноярский край,2852800,2180800,672000,2849600,2181200,668400
Иркутская область,2418300,1919300,499000,2420200,1922500,497700
Кемеровская область,2734100,2339800,394300,2738300,2342400,395900
Новосибирская область,2731200,2135900,595300,2720300,2122900,597400
Омская область,1973900,1420100,553800,1973900,1418300,555600
Томская область,1070100,765700,304400,1067200,761700,305500
Республика Саха (Якутия),954800,622700,332100,955200,621600,333600
Камчатский край,319900,247500,72400,320200,247400,72800
Приморский край,1938500,1487100,451400,1942900,1488900,454000
Хабаровский край,1339900,1094100,245800,1341000,1093800,247200
Амурская область,811300,544400,266900,814100,546300,267800
Магаданская область,150300,143300,7000,151400,144700,6700
Сахалинская область,491000,398500,92500,492100,398600,93500
Еврейская автономная область,170400,115700,54700,171500,116400,55100
Чукотский автономный округ,50500,34100,16400,50700,34000,16700
